id,direction_line_text
11960,"<span lang=""en-US"">Write a brief paragraph that tells who you are, where you are from, where you study (city and name of university), and what classes you are taking this semester.</span>"
11980,Write questions that ask how many items there are. Then write the answers. Write out the numbers.
12006,Watch the <b>Resumen</b> segment of this video module and indicate which country each traveler is from.
12008,Find the name of the person who said each thing.
12011,Answer the questions in Spanish. Use complete sentences.
12012,"This video talks about the Hispanic community in Montreal. In preparation for watching the video, answer the following questions about your family’s background."
12015,Indicate whether these statements are <b>cierto</b> or <b>falso</b>. 
12020,"<span lang=""en_US"">Listen as Silvia reads her shopping list. Write the missing words.</span>"
12024,"<span lang=""en_US"">You will hear a series of math problems. Write the missing numbers and solve the problems.</span>"
12030,Listen to each sentence and select the subject of the verb.
12064,
12092,"Complete these phrases with the missing words.<br />Then decide if the phrases are <b><span lang=""es"">Saludos</span></b>, <b><span lang=""es"">Despedidas</span></b>, or <b><span lang=""es"">Presentaciones</span></b>."
12103,"<span lang=""en-US"">Listen to the following description and write the missing words.</span>"
12312,Choose the answer that best completes each sentence.
12394,Describe the video stills.
12397,Imagine that you are in Ecuador studying Spanish. Write down how your conversation with your Spanish professor would be the first day you get to the university.
12401,"<span lang=""en-US"">Watch Álex's flashback about the</span> <b>Universidad Nacional Autónoma de México</b>. <span lang=""en-US"">Select <b>sí</b> for all the people, actions, items, and places shown in this flashback. Select <b>no</b> for the ones not shown.</span>"
12456,Answer these questions in Spanish.
12472,Look at the department store directory. Then choose on which floor you would find the items listed.
12580,"A group of tourists is shopping at an open-air market. Listen to what they say, and indicate the demonstrative adjective you hear."
12642,Indicate whether each statement is <b>cierto</b> or <b>falso</b>.
12701,
12707,Choose the answer that best completes each sentence.
12718,
12719,
12720,
12721,
12722,
12723,
12724,
12725,
12726,
12766,Watch the <b>¿Qué clases tomas?</b> video segment and indicate who asks these questions and to whom each question is directed. One question is directed to two different people.
12782,Complete these sentences with the correct form of <b>estar</b> + the present participle of the verbs in parentheses.
12784,Complete these sentences with <b>ser</b> and <b>estar</b>. Then write the letter that corresponds to the correct use of the verb in the blank at the end of each sentence.
12791,Write the appropriate month next to each description or event.
12826,You will hear some questions and the responses. Decide if they are <b>lógico</b> or <b>ilógico</b>.
12830,Listen to each sentence and indicate whether the verb is a form of <b>ser</b> or <b>ir</b>.
12838,Listen to each question and choose the most logical response.
12877,"In Spanish, answer these questions about the video module."
12881,Answer these questions in Spanish.
12883,"In Spanish, describe your morning routine when you are on vacation."
12951,Complete the paragraph with the correct forms of the verbs in parentheses.
12999,Use the clues to complete the crossword puzzle.
13002,
13005,"<span lang=""en-US"">Flip the cards to match adjectives that have opposite meanings.</span>"
13007,Drag each sentence to the drawing it describes.
13013,"Drag each day of the week to its place on the calendar.  Remember, the week starts on Monday in the Spanish-speaking world."
13015,
13017,Flip the cards to match each question with its answer.
13019,Flip the cards to match the numbers.
13025,Complete the crossword puzzle with the correct Spanish words following the clues. Do not include articles.
13030,
13032,Flip the cards to match each article/noun combination with the appropriate picture.
13034,Drag each number word to the appropriate drawing.
13036,Flip the cards to match each clock with the correct time.
13231,
13479,You will hear four sentences. Each will be said twice. Listen carefully and write what you hear.
13497,You will hear four sentences. Each will be said twice. Listen carefully and write what you hear.
13530,Watch Don Francisco’s flashback about Ecuadorian hotels and then select the sentence that best sums it up.
13531,Watch the <b>Tenemos una reservación</b> segment of this video module and write the name of the person who says each expression.
13532,Watch the <b>Resumen</b> segment of this video module and fill in the missing words in each sentence.
13580,Watch the <b>¡Qué ropa más bonita!</b> segment of this video module and indicate the order in which you heard these lines.
13581,Indicate whether or not you see these things during Javier’s flashback about shopping in San Juan.
13583,Watch the <b>¡Jamás me levanto temprano!</b> segment of this video module and indicate whether each activity is part of the daily routine of Álex or Javier.
13671,"<span lang=""en-US"">Drag each sentence to the drawing it describes.</span>"
13672,"<span lang=""en-US"">Flip the cards to match each activity with the sentence that describes it.</span>"
13673,"<span lang=""en-US"">Drag a sentence with</span> <b>estar</b> <span lang=""en-US"">or</span> <b>ser</b> <span lang=""en-US"">to the person(s) in the drawing that it describes.</span>"
13674,Flip the cards to match each sentence with the sentence that uses the corresponding direct object pronoun.
13675,Use the clues to complete the crossword puzzle.
13678,
13681,Use the clues to complete the crossword puzzle.
13682,"<span lang=""en-US"">Flip the cards to match each color word with the t-shirt of that color.</span>"
13684,
13685,"Da la vuelta a (<span lang=""en-US""><i>flip</i></span>) las cartas para emparejar las palabras indefinidas (<span lang=""en-US""><i>indefinite words</i></span>) y sus formas negativas correspondientes."
13686,"Da la vuelta a (<span lang=""en-US""><i>flip</i></span>) las cartas para emparejar las frases con los dibujos correspondientes."
13687,Usa las pistas <i>(clues)</i> para completar el crucigrama.
13688,"Dales la vuelta a (<span lang=""en-US""><i>flip</i></span>) las cartas para emparejar (<span lang=""en-US""><i>match</i></span>) cada frase con el dibujo correspondiente."
13691,
13692,"Da la vuelta <i>(flip)</i> a <span lang=""en-US""></span> las cartas para emparejar <span lang=""en-US""><i>(match)</i></span> las frases con <b>sustantivos</b> <i>(nouns)</i> de objeto directo con las frases correspondientes con <b>pronombres</b> de objeto directo."
13694,Usa las pistas <i>(clues)</i> para completar el crucigrama.
13698,
13701,Usa las pistas <i>(clues)</i> para completar el crucigrama.
13704,
13707,Usa las pistas <i>(clues)</i> para completar el crucigrama.
13710,"Empareja las formas átonas <span lang=""en-US""><i>(unstressed)</i></span> de los adjetivos posesivos y los pronombres posesivos correspondientes."
13711,Usa las pistas <i>(clues)</i> para completar el crucigrama.
13715,Usa las pistas <i>(clues)</i> para completar el crucigrama.
13719,Usa las pistas para completar el crucigrama.
13722,Empareja cada oración con la frase subordinada que la completa.
13723,Usa las pistas para completar el crucigrama.
13724,Empareja cada tienda con el producto que se vende en ella.
13729,Usa las pistas para completar el crucigrama.
13732,Empareja cada frase con el dibujo correspondiente.
13735,Usa las pistas para completar el crucigrama.
13743,"<span lang=""en-US"">Play the video clip. Then record yourself repeating what you heard.  Compare your pronunciation with the speaker's.</span>"
13747,"<span lang=""en-US"">Click on the present progressive verb form that agrees with each subject pronoun.</span>"
13749,Complete each item by typing in the appropriate direct object pronoun.
13753,"<span lang=""en-US"">Select the season that applies to each list of months.</span>"
13758,
13792,
13979,
13984,
14181,Choose the best phrase to complete each sentence.
14226,
14227,
14228,
14423,Choose the item that does not belong in each group.
14478,"Answer these questions about your daily routine, using verbs like <b>gustar</b> in complete sentences."
14486,Listen to this interview. Then indicate whether each statement is <b>cierto</b> or <b>falso</b>.
14499,Watch Álex's flashback about his daily routine and indicate in what order he does the following things.
15735,"<span lang=""en-US"">Identify the character who made the statement or asked the question.</span>"
15857,"<span lang=""en-US"">Choose the word in each group that doesn't belong.</span>"
15860,
15890,
15932,"<span lang=""en-US"">Play a video clip.  Then record yourself repeating what Inés says.  Compare your pronunciation with hers.</span>"
17032,Complete the paragraph with the preterite of the verbs in the word bank.
17123,Watch Javier’s flashback about medical facilities in Puerto Rico and indicate whether or not you see these things.
17127,Choose the word or words that best complete(s) each sentence in the spaces provided.
17129,Answer the following questions in Spanish.
17199,Complete the sentences by changing the adjectives in the first sentences into adverbs in the second.
17203,Complete the sentences with the adverbs or adverbial phrases that correspond to the words in parentheses.
17657,Answer the questions. Follow the model.
17659,Complete the sentences with possessive adjectives.
17661,"Replace the question with one using <b>de</b> to clarify the possession. Then answer the question affirmatively, using a possessive pronoun."
17738,You will hear some sentences with a beep in place of a word. Decide if <b>pero</b> or <b>sino</b> should complete each sentence.
17741,Answer these questions in Spanish.
18160,Listen to the telephone conversation between Antonio and Sonia and then select the best response for the questions.
18166,Listen to each statement and select the possessive pronoun you hear.
18168,You will hear two brief conversations. Listen carefully and then indicate whether the statements below are <b>cierto</b> or <b>falso</b>.
18202,Listen as José talks about some news he recently received. Then read the statements and decide whether they are <b>cierto</b> or <b>falso</b>.
18206,Listen to each sentence and choose the correct subject of the verb.
18263,Listen to each statement and select the word or phrase that best completes it.
18273,
18277,
18304,Choose <b>sí</b> for the items that you see while watching the video and <b>no</b> for the ones you don't see.
18710,Watch the <b>Resumen</b> segment of this video module. Then select the name of the person who said each line.
18714,Answer these questions in Spanish.
18717,Watch Maite’s flashback about restaurants in Madrid and choose the sentence that best summarizes the flashback.
18718,Watch the <b>Resumen</b> segment of this video module and fill in the missing words in these sentences.
19433,Write down the correct terms in the blanks.
19524,Indicate whether each statement is <b>cierto</b> or <b>falso</b>.
20051,
20266,Create sentences from the elements provided. Use the preterite form of the verbs.
20341,
20387,
20443,"In this video you are going to learn about an open-air market that takes place in Guatemala. In Spanish, describe one open-air market that you know."
20447,Complete the sentences with words from the word bank.
20450,Write four sentences comparing the cities of Antigua and Chichicastenango.
20515,
20520,
20577,
20585,Completa las oraciones con los adverbios adecuados.
20593,
20598,
20628,Label the stages of life on the timeline.
20658,Complete these sentences with the correct tense of <b>haber</b>.
20947,
20948
20949
20950
20951
20952
20953
20954
20955
20956
20957
20958
20959
20960
20961
20962
20963
20964
20965
20966
20967
20968
20969
20970
20971
20972
20973
20974
20975
20976
20977
20978
20979
20980,
20981,
20982,
21045,Watch Álex’s flashback about his sister’s <b>quinceañera</b>. Decide whether the following actions occurred in the flashback by answering <b>sí</b> or <b>no</b>.
21123,You will hear five sentences. Each will be said twice. Listen carefully and write what you hear.
21138,Watch the <b>¡Uf! ¡Qué dolor!</b> segment of this video module and indicate who said each expression.
21155,"Write sentences in the preterite, using the elements provided and <b>por</b> or <b>para</b>."
21160,Write the possessive adjectives in the blanks as indicated.
21193,
21205,
21334,You will hear a couple ordering a meal in a restaurant. Write the items they order in the appropriate categories.
22637,Listen to this conversation and answer the questions below.
22642,Watch the <b>¡Les va a encantar la casa!</b> segment of this video module and  indicate whether each statement is <b>cierto</b> or <b>falso</b>.
22790,"Watch the <b>Resumen</b> segment of this video module. Then indicate who made each statement, and complete the statements with the correct words."
22886,You will hear a paragraph. Listen carefully and write what you hear during the pauses. The entire paragraph will then be repeated so that you can check your work.
22928,Write a summary of today’s events from Maite’s point of view.
22986,Complete the paragraph with the subjunctive of the verbs in parentheses.
23460,Watch the <b>Resumen</b> segment of this video module. Then number the following events from one to five according to the order in which they occurred in the <b>Resumen</b>.
23464,Answer the following questions in Spanish.
23470,Describe the video still. Write at least three sentences in Spanish.
23483,Complete the sentences with the correct terms.
23493,"Write whether these food categories are rich in <b>vitaminas</b>, <b>minerales</b>, <b>proteínas</b>, or <b>grasas</b>."
23607,Completa cada oración con la forma correcta del verbo entre paréntesis.
23609,Completa el diálogo con palabras de la lista.
24232,
24237,
24243,
24249,
24529,Watch the <b>Estamos perdidos</b> segment and complete the following sentences.
24549,"Imagine that you are one of the characters you saw in this video episode. Write a paragraph from that person’s point of view, summarizing what happened in this episode."
24550,Look over these useful words before you watch the video.
24552,Answer the questions in Spanish. Use complete sentences.
24558,Look over these useful words before you watch the video.
24559,Select the item that corresponds to each description.
24569,Watch the <b>¡Qué buena excursión!</b> segment of this video module and indicate who said the following things.
24572,
24574,
24578,
24865,"Write the names of the video characters who expressed the following opinions, either verbally or through body language."
24881,Watch the <b>Resumen</b> segment of this video module and indicate who says the following lines.
24885,Look over these useful words and expressions before you watch the video.
24889,Victoria is talking to her friend Mirta on the phone. Listen carefully and during the pauses write what she says. The entire passage will then be repeated so that you can check your work.
24902,All of the following statements about this video episode are false. Rewrite them so that they will be correct.
24903,"In Spanish, list the three events from this video episode that you consider to be the most important, and explain your choices."
24904,Answer these questions in Spanish.
24905,"Watch the <b>¡Feliz cumpleaños, Maite! </b> segment of this video module and put the following events in the correct order."
25142,Transforma los adjetivos en adverbios.
25144,Reordena las letras para formar seis adverbios.
25169,"Answer the questions using the adverbs and adverbial phrases that you learned in this lesson. Do not repeat the adverb or adverbial phrase of the question. Then, say how long ago you last did each activity."
25179,Describe the video still. Write at least three sentences in Spanish.
25188,Form a new sentence by changing the adjective below to an adverb. Repeat the correct answer after the speaker.
25189,"Answer each question you hear in the negative, using the cue below. Repeat the correct response after the speaker."
25190,You will hear four brief conversations. Choose the phrase that best completes each sentence.
25201,"Imagine that Maite is writing a short letter to a friend about today’s events. In Spanish, write what you think Maite would say in her letter."
25207,"Restate each sentence you hear, using the cues below. Repeat the correct answer after the speaker."
25464,"This video talks about two musical genres famous in the Dominican Republic. In preparation for watching the video, answer these questions."
25469,The underlined elements in the sentences are incorrect. Write the correct words in the spaces provided.
25471,Select the item that corresponds to each description.
25473,Select the sentence that best summarizes what you saw in this video.
25475,Answer the questions in Spanish. Use complete sentences.
25481,Write down the words that don’t belong in the groups.
25529,Indicate whether each statement is <b>cierto</b> or <b>falso</b>.
25530,Complete the sentences with words from the word bank.
25744,Indicate with <b>sí</b> or <b>no</b> the cognates you hear while watching the video.
26101,
26346,"Listen to each sentence. If you hear a verb in the subjunctive, select <b>Sí</b>. If you don’t hear the subjunctive, select <b>No</b>."
26372,
26375,
26377,
26537,You will hear five sentences. Each will be said twice. Listen carefully and write what you hear.
26555,Listen to this conversation. Then read the statements below and decide whether they are <b>cierto</b> or <b>falso</b>.
26574,"Listen to each sentence and indicate whether the subordinate clause expresses a future action, a habitual action, or a past action."
26585,
26588,Completa las oraciones con la forma apropiada de los verbos del banco de palabras.
26598,Write down the most likely form of payment for each item.
26731,
26735,
26736,
26817,
27008,
27253,
28073,Number the items in the order in which they appear in the video.
28123,Look at the ads and listen to each statement. Then decide if the statement is <b>cierto</b> or <b>falso</b>.
28155,Listen to the following verbs. Choose <b>sí</b> if the verb is in the past subjunctive and <b>no</b> if it is in another tense.
28188,Escribe las frases de nuevo (<i>again</i>) haciendo las correcciones necesarias.
28189,Completa las actividades para practicar las mayúsculas y minúsculas.
28208,Escribe el párrafo con los signos de puntuación necesarios.
28209,Escribe el diálogo usando signos de puntuación para darle significado (<i>meaning</i>).
28219,"For each drawing, you will hear a brief description. Indicate whether it is <b>cierto</b> or <b>falso</b> according to what you see."
28415,
28419,
28446,
28555,Watch Javier’s flashback about Puerto Rico’s countryside and select <b>sí</b> or <b>no</b> to indicate whether you see the items listed.
28702,Listen to the park ranger’s instructions. Then number the drawings in the correct order.
28895,
28896,
28897
28898
28899
28900
28901
28902
28903
28904
28905
28906
28907
28908
28909
28910
28912
28913
28914
28918
28919
28920
28921
28922
28923
28924
28925
28926
28927
28928
28931
28932
28934
28936
28938,
28942,
28943,
28944,
28945,
28946,
29129,Watch the <b>¡Todos a bordo!</b> segment of this video module and complete the gaps in the following sentences.
29136,"Write a short paragraph describing some of the errands you ran last week. What did the errands involve, and what places in your community did you visit while running your errands?"
29138,Write a description of your personal fitness routine. You may write about an imaginary fitness routine if you wish.
29235,
29237,
29239,
29292,Escoge la opción correcta para completar cada oración.
29371,Write the profession of the person who would make each statement.
29475,Complete the sentences with the present subjuntive of the verbs in parentheses.
29477,Write sentences using the elements provided and the present subjunctive. Replace the indirect objects with indirect object pronouns.
29499,Indicate whether each statement about this video episode is <b>cierto</b> or <b>falso</b>.
29501,Answer these questions in Spanish.
29576,Watch the <b>¡Qué paisaje más hermoso!</b> segment and choose <b>sí</b> or <b>no</b> to indicate whether each opinion was expressed in this video segment.
29579,Listen to each sentence and choose <b>indicative</b> or <b>subjunctive</b> to indicate the mood of the verb you hear in the subordinate clause. 
29641,Listen to Carlos and Victoria’s conversation and answer the questions with complete sentences.
29773,Watch Maite’s flashback about her gym in Madrid and choose <b>sí</b> or <b>no</b> to indicate whether you see the people or things mentioned.
29803,Some friends in their late teens are talking about what they think they will be doing when they turn 30 years old. Complete the conversation with the correct form of the verbs in parentheses.
29806,"Rosa, one of your friends, is telling you about some of the activities she has planned for this weekend. Write complete sentences to describe each image. Then keep using the future tense to write two activities that you would do this weekend."
29854,
29855,
29856,
29910,Choose <b>sí</b> or <b>no</b> to indicate whether you see these pastimes while watching the video.
29940,
29942,
30075,
30147,Completa las oraciones con palabras de la lista.
30154,You will hear a phone conversation. Listen carefully and write what you hear during the pauses. The entire conversation will then be repeated so that you can check your work.
30688,
30715,
30716,
30717,
30718,
30719,
30720,
30721,
30722,
30723,
30724,
30726,
30728,
30729,
30911,"For each picture, provide the noun with a corresponding definite or indefinite article."
31249,What does Randy do in this episode? Order the activities chronologically.
31251,Indicate which of the following items you see in this episode.
31255,Indicate which of the following items you see in this episode.
31271,
31272,
31963,Number the items in the order in which they appear in the video.
31964,"<span lang=""en-US"">Look at the drawing and listen to each statement. Indicate whether the statement is </span> <b>cierto</b> <span lang=""en-US"">or </span> <b>falso</b>."
31972,Answer the questions based on the pictures. Write complete sentences.
32017,Give the time shown on each clock using complete sentences. Follow the model.
32121,"<span lang=""en-US"">Look over these useful words and expressions before you watch the video.</span>"
32437,Look over these useful words before you watch the video.
32574,"In this video segment, Álex, Javier, Maite, and Inés are meeting for the first time as they prepare to leave for a hiking trip. Look at the video still and write what you think Álex and Javier are saying to each other. Be sure to write your description in Spanish."
32577,"Based on the title <b>¿Es grande tu familia?</b> and the video still below, what do you think you will see in this episode? Be sure to write in Spanish and use your imagination."
32579,"Don Francisco and the travelers have just arrived at the <b>cabañas</b>. Based on the video still, what do you think they are doing right now? What do you think they will do next? Be sure to write in Spanish."
32580,Look at the video still and describe what you see. Your description should answer these questions: Where is Javier? Who is Javier talking to? What is the purpose of their conversation? Be sure to write in Spanish.
32582,What kinds of things do you do and say when you have lunch at a restaurant? Be sure to write in Spanish.
32583,"In this video episode, Señora Perales and Don Francisco surprise Maite with a birthday party. Based on this information, what kinds of things do you expect to see in this episode? Be sure to write in Spanish."
32584,Look at the video still. Where do you think Javier and Don Francisco are? What is happening in this scene? Be sure to write in Spanish.
32585,"Look at the video still. Where do you think Inés and don Francisco are? What do you think they are doing, and why? Be sure to write in Spanish."
32586,"In this lesson, the students arrive at the house in Ibarra near the area where they will go on their hiking excursion. Keeping this information in mind, look at the video still and describe in Spanish what you think is going on."
32588,"In this video episode, Álex and Maite get lost while running errands. What kinds of errands do you think they are running? Based on the video still, what do you think they will do to get their bearings? Be sure to write in Spanish."
32589,"List, in Spanish, the types of things you would probably do and say during a hiking trip through a scenic area."
32625,"Read the following suggestions for buying a house. Then write a note to a friend, repeating the advice and using the present subjunctive of the verbs."
32628,Indicate whether each statement is <b>cierto</b> or <b>falso</b>.
32630,"<span lang=""en-US"">Form complete sentences using the cues provided. Be sure to include necessary punctuation. </span>"
32668,Answer these questions in Spanish.
32670,Watch the <b>Resumen</b> segment of this video module. Then select each event that occurred in the <b>Resumen</b>.
32674,"In preparation for watching the video, complete the sentences using words from the <popup>vocabulary list</popup>. Conjugate the verbs as necessary. Some words will not be used."
32683,Look over these useful words before you watch the video.
32697,Listen to each situation and make a recommendation using the cues below. Repeat the correct response after the speaker.
32766,"<span lang=""en-US"">Complete each sentence with the appropriate demonstrative adjective or pronoun.</span>"
32787,"<span lang=""en-US"">Click on the term that doesn't belong.</span>"
32825,Look over these useful words and expressions before you watch the video.
32834,"<span lang=""en-US"">Listen to this radio advertisement and then answer the questions in complete sentences.</span>"
32836,"<span lang=""en-US"">Listen to this telephone conversation and complete the phone message with the correct information.</span>"
32837,Complete these sentences.
32869,Listen to the following description. Then read the statements and decide whether they are <b>cierto</b> or <b>falso.</b>
33042,Answer the questions in Spanish. Use complete sentences.
33082,Look over these useful words before you watch the video.
33112,"In your own words, write a short summary of this video episode in Spanish. Try not to leave out any important information."
33147,Listen to this conversation. Then read the statements and decide whether they are <b>cierto</b> or <b>falso</b>.
33149,All of these statements about this video episode are false. Rewrite them and correct the false information.
33150,Look over these useful words before you watch the video.
33403,
33424,You will hear some questions. Look at the drawing and write the answer to each question.
33456,Choose <b>en el baño</b> or <b>en la habitación</b> to indicate where each activity takes place.
33457,Complete this paragraph writing the correct sequencing words from the parentheses.
33508,Listen as Julia describes what happened in her dorm yesterday. Then choose the correct ending for each statement.
33526,Look over these useful words and expressions before you watch the video.
33547,Listen as Ernesto describes what he did yesterday. Then read the statements and decide whether they are <b>cierto</b> or <b>falso</b>.
33551,Listen to this conversation between Eva and Marcela. Then read the statements and decide whether they are <b>cierto</b> or <b>falso</b>.
33558,Look over these useful words and expressions before you watch the video.
33559,Categorize the following words.
33574,Indicate which of the following items you see in this episode.
33615,"Pon el video. Después, grábate a ti mismo/a (<span lang=""en-US""><i>record yourself</i></span>) repitiendo lo que (<span lang=""en-US""><i>what</i></span>) escuchaste. Luego, compara tu pronunciación con la de Javier."
33626,Escoge las palabras de la lista para completar los párrafos correctamente.
33629,Completa cada frase escribiendo el verbo reflexivo apropiado.
33634,"Completa las oraciones usando palabras indefinidas (<span lang=""en-US""><i>indefinite</i></span>)  y negativas."
33635,Completa las frases con la forma correcta del pretérito de <b>ser</b> o de <b>ir</b>.
33648,
33660,Haz clic en la palabra que no está relacionada con el grupo.
33667,Elige la opción correcta para completar cada oración.
33674,"Pon el video. Después, grábate a ti mismo/a (<span lang=""en-US""><i>record yourself</i></span>) repitiendo lo que (<span lang=""en-US""><i>what</i></span>) escuchaste. Luego, compara tu pronunciación con la de Álex y Javier."
33676,
33688,
33690,Completa cada afirmación con la opción correcta según el episodio.
33695,Haz clic en la forma del verbo que corresponde al sujeto indicado.
33718,Completa las oraciones con palabras de la lista.
33737,Listen to the dialogue and write the missing words.
33748,Complete the sentences with adverbs and adverbial expressions from the word bank. No word or expression should be used more than once. 
33763,
33765,Watch the <b>Resumen</b> segment of this video. Then write the name of the person who said each sentence and fill in the missing words.
33768,Look over these useful words and expressions before you watch the video.
33776,Choose the appropriate verb from the drop-down menus to complete each sentence.
34042,"Completa las oraciones con el pretérito de un verbo que termine <span lang=""en-US""><i>(ends)</i></span> en <b>-ir</b>."
34058,"Look at the drawing and listen to Sofía’s description of her day. During each pause, write the name of the place she went. The first one has been done for you in the <b>Modelo</b>."
34070,"Watch the <b>Tecnohombre, ¡mi héroe!</b> segment of this video module and indicate with <b>sí</b> or <b>no</b> whether you hear these items."
34085,Some people are discussing what they or their friends want to do. Say that you don’t want them to do those things. Repeat the correct response after the speaker. (<i>6 items</i>)
34094,
34097,Completa cada oración con la opción correcta.
34156,"Pon el video. Después, grábate a ti mismo/a (<span lang=""en-US""><i>record yourself</i></span>) repitiendo lo que (<span lang=""en-US""><i>what</i></span>) escuchaste. Luego, compara tu pronunciación con la de Martín."
34163,Indica si lo que dice cada oración es <b>cierto</b> o <b>falso</b>.
34169,Completa cada oración con la forma correcta del verbo apropiado de la lista. Usa cada palabra sólo una vez. 
34174,Completa cada oración con la forma correcta del verbo apropiado de la lista.
34179,Completa cada oración con la forma correcta del verbo apropiado de la lista. 
34188,Completa cada oración con la opción correcta.
34206,"Pon el video. Después, grábate a ti mismo/a (<span lang=""en-US""><i>record yourself</i></span>) repitiendo lo que (<span lang=""en-US""><i>what</i></span>) escuchaste. Luego, compara tu pronunciación con la de Maite."
34216,"Forma oraciones completas usando los elementos dados <span lang=""en-US""><i>(given)</i></span>. Usa mandatos de <b>nosotros/as</b>.  No olvides escribir el punto al final de cada oración."
34233,
34268,
34273,
34274,
34276,
34279,
34613,Completa cada oración con la opción correcta. 
35009,"Forma oraciones completas usando los elementos dados (<i>given</i>). Usa el subjuntivo o el indicativo, según el caso."
35021,Complete the sentences with the subjunctive form of the verbs in parentheses.
35043,Watch the <b>¿Qué tal la comida?</b> segment of this video module and write the name of the person who says each of the following lines.
35054,"Indicate whether each sentence about this video episode is <b>cierto</b> or <b>falso</b>. If an item is false, rewrite it so that it will be correct."
35069,Write down the type of store each slogan would promote.
35083,
35086,You will hear some sentences with a beep in place of the verb. Select the verb that best completes each sentence.
