word,definition,English translation,lesson,tags
américain,,American (m.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Adjectives of nationality;adjective
américaine,,American (f.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Adjectives of nationality;adjective
amusant ,,fun (m.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Descriptive adjectives;adjective
amusante,,fun (f.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Descriptive adjectives;adjective
ancien,,ancient; old; former (m.),Leçon_15B,Espaces;Unité_15;Leçon_15B;Les arts;adjective
ancienne,,ancient; old; former (f.),Leçon_15B,Espaces;Unité_15;Leçon_15B;Les arts;adjective
anglais,,English (m.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Adjectives of nationality;adjective
anglaise,,English (f.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Adjectives of nationality;adjective
Angleterre,,England,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;noun
annuler,,to cancel,Leçon_7B,Espaces;Unité_7;Leçon_7B;En vacances;Faire une réservation;verb
antipathique,,unpleasant,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Adjectifs descriptifs;adjective
août,,August,Leçon_5B,"Espaces;Unité_5;Leçon_5B;Les loisirs;Les saisons, les mois, les dates;noun"
apercevoir,,"to catch sight of, to see",Leçon_12A,Espaces;Unité_12;Leçon_12A;En ville;Verbes;verb
appeler,,to call,Leçon_13A,Espaces;Unité_13;Leçon_13A;L'avenir et les métiers;Au téléphone;verb
applaudir,,to applaud,Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Aller au spectacle;verb
apporter,,"to bring, to carry",Leçon_4B,Espaces;Unité_4;Leçon_4B;Au café;verb
apprendre (à),,to learn (to),Leçon_11A; Leçon_4B,Espaces;Unité_11;Leçon_11A;La technologie;Prepositions with the infinitive;Unité_4;Leçon_4B;Au café;Verbes;verb
après (que),,after,Leçon_7B; Leçon_2B,Espaces;Unité_7;Leçon_7B;En vacances;Adverbes et locutions de temps;adverb;Unité_2;Leçon_2B;À la fac;Expressions de temps
après-demain,,day after tomorrow,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions de temps;phrase
arrêter (de)  ,,to stop,Leçon_11A; Leçon_11B,Espaces;Unité_11;Leçon_11A;La technologie;Prepositions with the infinitive;Leçon_11B;La technologie;La voiture;verb
arrêter de faire quelque chose,,to stop doing something,Leçon_11B,Espaces;Unité_11;Leçon_11B;La technologie;La voiture;phrase
arriver,,to arrive,Leçon_2A; Leçon_7A,Espaces;Unité_2;Leçon_2A;À la fac;Verbes;verb;Unité_7;Leçon_7A;En vacances
arriver à,,to manage to,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;Prepositions with the infinitive;phrase
assez ,,enough,Leçon_4B,Espaces;Unité_4;Leçon_4B;Au café;Expressions de quantité;adverb
assister,,to attend,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;L'université;verb
attacher sa ceinture de sécurité,,to buckle/to fasten one's seatbelt ,Leçon_11B,Espaces;Unité_11;Leçon_11B;La technologie;La voiture;phrase
attendre,,to wait,Leçon_6B,Espaces;Unité_6;Leçon_6B;Les fêtes;Verbes en -re;verb
au bout (de),,at the end (of),Leçon_12B,Espaces;Unité_12;Leçon_12B;En ville;Pour donner des indications;adverb
au Brésil,,to Brazil,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;phrase
au Canada,,to Canada,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;phrase
au coin (de),,at the corner (of),Leçon_12B,Espaces;Unité_12;Leçon_12B;En ville;Pour donner des indications;adverb
au Japon,,to Japan ,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;phrase
au Mexique,,to Mexico,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;phrase
Au revoir.,,Good-bye.,Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Bonjour et au revoir;phrase
aujourd’hui,,today,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions de temps;noun
aussi [+ adjective/verb] que,,as…as,Leçon_9B,Espaces;Unité_9;Leçon_9B;La nourriture;Comparatives and superlatives;adverb
autant de  + [noun},,as much; as many,Leçon_14B,Espaces;Unité_14;Leçon_14B;L'espace vert;Comparatives and superlatives of nouns;phrase
autour (de),,around,Leçon_12B,Espaces;Unité_12;Leçon_12B;En ville;Pour donner des indications;adverb
aux États-Unis,,to United States,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;phrase
avant (de),,before,Leçon_7B,Espaces;Unité_7;Leçon_7B;En vacances;Adverbes et locutions de temps;adverb
avant que...,,before…,Leçon_15B,Espaces;Unité_15;Leçon_15B;Les arts;Conjonctions suivies du subjonctif;phrase
avant-hier, ,the day before yesterday,Leçon_6A,Espaces;Unité_6;Leçon_6A;Les fêtes;Périodes de la vie;phrase
avec qui?,,with whom?,Leçon_4A,Espaces;Unité_4;Leçon_4A;Au café;Les questions;phrase
avoir,,to have  ,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions avec avoir;verb
avoir besoin (de),,to need,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions avec avoir;phrase
avoir chaud,,to be hot,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions avec avoir;phrase
avoir de la chance,,to be lucky,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions avec avoir;phrase
avoir de la fièvre,,to have a fever,Leçon_10B,Espaces;Unité_10;Leçon_10B;La santé;phrase
avoir envie (de),,to feel like,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions avec avoir;phrase
avoir faim,,to be hungry,Leçon_4B,Espaces;Unité_4;Leçon_4B;Au café;À table;phrase
avoir froid,,to be cold,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions avec avoir;phrase
avoir honte (de),,to be ashamed (of),Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions avec avoir;phrase
avoir l’air,,to look like,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions avec avoir;phrase
avoir mal,,to have an ache,Leçon_10B,Espaces;Unité_10;Leçon_10B;La santé;phrase
avoir mal au cœur,,to feel nauseous,Leçon_10B,Espaces;Unité_10;Leçon_10B;La santé;phrase
avoir peur (de),,to be afraid (of),Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions avec avoir;phrase
avoir peur que…,,to be afraid that…,Leçon_14B,Espaces;Unité_14;Leçon_14B;L'espace vert;Verbs and expressions of emotion;phrase
avoir raison,,to be right,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions avec avoir;phrase
avoir soif,,to be thirsty,Leçon_4B,Espaces;Unité_4;Leçon_4B;Au café;À table;phrase
avoir sommeil,,to be sleepy,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions avec avoir;phrase
avoir tort,,to be wrong,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions avec avoir;phrase
avoir un accident,,to have/to be in an accident,Leçon_11B,Espaces;Unité_11;Leçon_11B;La technologie;La voiture;phrase
avoir un compte bancaire,,to have a bank account,Leçon_12A,Espaces;Unité_12;Leçon_12A;En ville;À la banque;phrase
avoir... ans,,to be... years old,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions avec avoir;phrase
avril,,April,Leçon_5B,"Espaces;Unité_5;Leçon_5B;Les loisirs;Les saisons, les mois, les dates;noun"
balayer,,to sweep,Leçon_8B,Espaces;Unité_8;Leçon_8B;Chez nous;Les tâches ménagères;verb
bavarder,,to chat,Leçon_4A,Espaces;Unité_4;Leçon_4A;Au café;Activités;verb
beau,,beautiful; handsome (m.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs irréguliers;adjective
beaucoup (de),,a lot (of),Leçon_4B,Espaces;Unité_4;Leçon_4B;Au café;Expressions de quantité;adverb
belge,,Belgian,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;adjective
Belgique,,Belgium,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;noun
belle,,beautiful; handsome (f.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs irréguliers;adjective
bien,,well,Leçon_7B; Leçon_9B,Espaces;Unité_7;Leçon_7B;En vacances;Adverbs;adverb;Unité_9;Leçon_9B;La nourriture;Comparatives and superlatives
bien sûr,,of course,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;Des questions et des opinions;phrase
blanc,,white (m.),Leçon_6B,Espaces;Unité_6;Leçon_6B;Les fêtes;Les couleurs;adjective
blanche,,white (f.),Leçon_6B,Espaces;Unité_6;Leçon_6B;Les fêtes;Les couleurs;adjective
bleu,,blue (m.),Leçon_6B; Leçon_3A,Espaces;Unité_6;Leçon_6B;Les fêtes;Les couleurs;adjective;Unité_3;Leçon_3A;La famille et les copains;Adjectifs descriptifs
bleue,,blue (f.),Leçon_3A; Leçon_6B,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs descriptifs;adjective;Unité_6;Leçon_6B;Les fêtes;Les couleurs
blond ,,blond (m.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs descriptifs;adjective
blonde,,blond (f.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs descriptifs;adjective
boire,,to drink,Leçon_4B,Espaces;Unité_4;Leçon_4B;Au café;Verbes;verb
bon,,kind; good (m. sing.),Leçon_9B; Leçon_3A,Espaces;Unité_9;Leçon_9B;La nourriture;Comparatives and superlatives;adjective;Unité_3;Leçon_3A;La famille et les copains;Adjectifs irréguliers
bon marché,,inexpensive,Leçon_6B,Espaces;Unité_6;Leçon_6B;Les fêtes;Les vêtements;adjective
Bonjour.,,Good morning.; Hello.,Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Bonjour et au revoir;phrase
bonne,,kind; good (f. sing.),Leçon_3A; Leçon_9B,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs irréguliers;adjective;Unité_9;Leçon_9B;La nourriture;Comparatives and superlatives
Bonne journée!,,Have a good day!,Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Bonjour et au revoir;phrase
bonnes,,good (f. pl.),Leçon_9B,Espaces;Unité_9;Leçon_9B;La nourriture;Comparatives and superlatives;adjective
bons,,good (m. pl.),Leçon_9B,Espaces;Unité_9;Leçon_9B;La nourriture;Comparatives and superlatives;adjective
Bonsoir.,,Good evening.; Hello.,Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Bonjour et au revoir;phrase
Brésil,,Brazil ,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;noun
brésilien,,Brazilian (m.),Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;adjective
brésilienne,,Brazilian (f.),Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;adjective
bricoler,,to tinker; to do odd jobs,Leçon_5A,Espaces;Unité_5;Leçon_5A;Les loisirs;Activités sportives et loisirs;verb
brillant ,,brilliant (m.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Descriptive adjectives;adjective
brillante,,brilliant (f.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Descriptive adjectives;adjective
bronzer,,to tan,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les vacances;verb
brun ,,dark (hair); (m.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs descriptifs;adjective
brune,,dark (hair); (f.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs descriptifs;adjective
C’est de la part de qui?,,On behalf of whom?,Leçon_13A,Espaces;Unité_13;Leçon_13A;L'avenir et les métiers;Au téléphone;phrase
C’est le 15 mars.,,It's March 15th.,Leçon_5B,"Espaces;Unité_5;Leçon_5B;Les loisirs;Les saisons, les mois, les dates;phrase"
C’est le 1er (premier) octobre.,,It's the first of October.,Leçon_5B,"Espaces;Unité_5;Leçon_5B;Les loisirs;Les saisons, les mois, les dates;phrase"
C’est le 2 mai.,,It's the second of May.,Leçon_5B,"Espaces;Unité_5;Leçon_5B;Les loisirs;Les saisons, les mois, les dates;phrase"
C’est M./Mme/Mlle… (à l’appareil.),,It’s Mr./Mrs./Miss…(on the phone.),Leçon_13A,Espaces;Unité_13;Leçon_13A;L'avenir et les métiers;Au téléphone;phrase
C’est quand l'anniversaire de Paul?,,When is Paul's birthday?,Leçon_5B,"Espaces;Unité_5;Leçon_5B;Les loisirs;Les saisons, les mois, les dates;phrase"
C’est quand ton anniversaire?,,When is your birthday? (fam.),Leçon_5B,"Espaces;Unité_5;Leçon_5B;Les loisirs;Les saisons, les mois, les dates;phrase"
C’est quand votre anniversaire?,,When is your birthday? (form.),Leçon_5B,"Espaces;Unité_5;Leçon_5B;Les loisirs;Les saisons, les mois, les dates;phrase"
Ça va?,,What’s up?; How are things?,Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Comment ça va?;phrase
cadet,,younger (m.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;La famille;adjective
cadette,,younger (f.),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;La famille;adjective
Canada,,Canada ,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;noun
canadien,,Canadian (m.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Adjectives of nationality;adjective
canadienne,,Canadian (f.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Adjectives of nationality;adjective
CD,,CDs,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;L'ordinateur;noun
ce,,"this, that (m. sing. before consonant)",Leçon_6A,Espaces;Unité_6;Leçon_6A;Les fêtes;Demonstrative adjectives;adjective
ce matin,,this morning,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions de temps;phrase
ce mois-ci,,this month,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions de temps;phrase
ce soir,,this evening,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions de temps;phrase
Ce sont,,They are,Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Identifier;phrase
ce week-end,,this weekend,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions de temps;phrase
célèbre,,famous,Leçon_15A,Espaces;Unité_15;Leçon_15A;Les arts;Les artistes;adjective
célébrer,,to celebrate,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Verbes;verb
célibataire,,single,Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Vocabulaire supplémentaire;adjective
celle,,this one; that one; the one (f. sing.),Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;Pronoms démonstratifs;pronoun
celles,,these; those; the ones (f. pl.),Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;Pronoms démonstratifs;pronoun
celui,,this one; that one; the one (m. sing.),Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;Pronoms démonstratifs;pronoun
cent,,one hundred,Leçon_3B,Espaces;Unité_3;Leçon_3B;La famille et les copains;Numbers 61-100;adjective
cent mille,,one hundred thousand,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Numbers 101 and higher;adjective
cent quatre-vingt-dix-huit,,one hundred and ninety-eight,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Numbers 101 and higher;adjective
cent un,,one hundred and one,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Numbers 101 and higher;adjective
cent vingt-cinq,,one hundred and twenty-five,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Numbers 101 and higher;adjective
centième,,hundredth,Leçon_7B,Espaces;Unité_7;Leçon_7B;En vacances;Ordinal numbers;adjective
ces,,"these, those ",Leçon_6A,Espaces;Unité_6;Leçon_6A;Les fêtes;Demonstrative adjectives;adjective
C'est,,It's,Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Identifier;phrase
cet,,"this, that (m. sing. before vowel sound)",Leçon_6A,Espaces;Unité_6;Leçon_6A;Les fêtes;Demonstrative adjectives;adjective
cet après-midi,,this afternoon,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions de temps;phrase
cette,,"this, that (f. sing.)",Leçon_6A,Espaces;Unité_6;Leçon_6A;Les fêtes;Demonstrative adjectives;adjective
cette année,,this year,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions de temps;phrase
cette nuit,,this night,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions de temps;phrase
cette semaine,,this week,Leçon_2B,Espaces;Unité_2;Leçon_2B;À la fac;Expressions de temps;phrase
ceux,,these; those; the ones (m. pl.),Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;Pronoms démonstratifs;pronoun
chanter,,to sing,Leçon_5A,Espaces;Unité_5;Leçon_5A;Les loisirs;Activités sportives et loisirs;verb
chaque,,each,Leçon_6B,Espaces;Unité_6;Leçon_6B;Les fêtes;Les vêtements;pronoun
charmant,,charming (m.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Descriptive adjectives;adjective
charmante,,charming (f.),Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Descriptive adjectives;adjective
chasser,,to hunt,Leçon_14A,Espaces;Unité_14;Leçon_14A;L'espace vert;L’écologie;verb
châtain,,brown (hair),Leçon_3A,Espaces;Unité_3;Leçon_3A;La famille et les copains;Adjectifs irréguliers;adjective
cher,,expensive (m.),Leçon_6B,Espaces;Unité_6;Leçon_6B;Les fêtes;Les vêtements;adjective
chercher,,to look for,Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;Verbes;verb
chercher du travail,,to look for work,Leçon_13A,Espaces;Unité_13;Leçon_13A;L'avenir et les métiers;La recherche d’emploi;phrase
chercher un travail,,to look for work,Leçon_13A,Espaces;Unité_13;Leçon_13A;L'avenir et les métiers;La recherche d’emploi;phrase
chère,,expensive (f.),Leçon_6B,Espaces;Unité_6;Leçon_6B;Les fêtes;Les vêtements;adjective
Chine,,China ,Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;noun
chinois,,Chinese (m.),Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;adjective
chinoise,,Chinese (f.),Leçon_7A,Espaces;Unité_7;Leçon_7A;En vacances;Les pays;adjective
choisir,,to choose,Leçon_4B,Espaces;Unité_4;Leçon_4B;Au café;Verbes réguliers en -ir;verb
cinq,,five,Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Numbers 0-60;adjective
cinq cent cinquante mille,,five-hundred and fifty thousand,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Numbers 101 and higher;adjective
cinq cents,,five hundred,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Numbers 101 and higher;adjective
cinq mille,,five thousand,Leçon_5B,Espaces;Unité_5;Leçon_5B;Les loisirs;Numbers 101 and higher;adjective
cinquante,,fifty,Leçon_1B,Espaces;Unité_1;Leçon_1B;Salut!;Numbers 0-60;adjective
cinquième,,fifth,Leçon_7B,Espaces;Unité_7;Leçon_7B;En vacances;Ordinal numbers;adjective
Combien coûte...?,,How much is...?,Leçon_4B,Espaces;Unité_4;Leçon_4B;Au café;phrase
Combien coûtent...?,,How much are...?,Leçon_4B,Espaces;Unité_4;Leçon_4B;Au café;phrase
combien de?,,how much?,Leçon_4A,Espaces;Unité_4;Leçon_4A;Au café;Les questions;phrase
Combien…?,,How much/many…?,Leçon_1A; Leçon_4A ,Espaces;Unité_1;Leçon_1A;Salut!;Identifier;interrogative;Unité_4;Leçon_4A;Au café;Les questions
commander,,to order,Leçon_9B,Espaces;Unité_9;Leçon_9B;La nourriture;Les repas;verb
"Comme ci, comme ça.",,So-so.,Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Comment ça va?;phrase
commencer,,"to begin, to start",Leçon_2A,Espaces;Unité_2;Leçon_2A;À la fac;Verbes;verb
commencer à,,to start (doing something); to begin to,Leçon_4A; Leçon_11A,Espaces;Unité_4;Leçon_4A;Au café;Prepositions;phrase;Unité_11;Leçon_11A;La technologie;Prepositions with the infinitive
Comment allez-vous?,,How are you? (form.),Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Comment ça va?;phrase
Comment t’appelles-tu?,,What is your name? (fam.),Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Les présentations;phrase
Comment vas-tu?,,How are you? (fam.),Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Comment ça va?;phrase
Comment vous appelez-vous?,,What is your name? (form.),Leçon_1A,Espaces;Unité_1;Leçon_1A;Salut!;Les présentations;phrase
comment?,,how?; what?,Leçon_4A,Espaces;Unité_4;Leçon_4A;Au café;Les questions;interrogative
compact disc,,compact discs,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;L'ordinateur;noun
complet,,full (no vacancies) (m.),Leçon_7B,Espaces;Unité_7;Leçon_7B;En vacances;Faire une réservation;adjective
complète,,full (no vacancies) (f.),Leçon_7B,Espaces;Unité_7;Leçon_7B;En vacances;Faire une réservation;adjective
composer,,to dial,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;L’électronique;verb
composer un numéro,,to dial a number,Leçon_11A,Espaces;Unité_11;Leçon_11A;La technologie;L’électronique;phrase
